FIPSCode,LocationType,Location,AgeGroup,Gender,TimeFrame,DataFormat,Data
0,Nation,United States,Ages 14_17,Female,2007,Number,"8,558,776"
0,Nation,United States,Ages 14_17,Female,2008,Number,"8,462,970"
0,Nation,United States,Ages 14_17,Female,2009,Number,"8,383,630"
0,Nation,United States,Ages 14_17,Female,2010,Number,"8,304,828"
0,Nation,United States,Ages 14_17,Female,2011,Number,"8,226,663"
0,Nation,United States,Ages 14_17,Female,2012,Number,"8,163,173"
0,Nation,United States,Ages 14_17,Female,2013,Number,"8,137,428"
0,Nation,United States,Ages 14_17,Female,2014,Number,"8,186,535"
0,Nation,United States,Ages 14_17,Female,2015,Number,"8,218,019"
0,Nation,United States,Ages 14_17,Female,2016,Number,"8,207,610"
0,Nation,United States,Ages 14_17,Female,2017,Number,"8,200,486"
0,Nation,United States,Ages 14_17,Female,2018,Number,"8,168,100"
0,Nation,United States,Ages 14_17,Female,2019,Number,"8,152,900"
0,Nation,United States,Ages 14_17,Female,2020,Number,"8,185,027"
0,Nation,United States,Ages 14_17,Female,2021,Number,"8,209,110"
0,Nation,United States,Ages 14_17,Male,1995,Number,"7,728,340"
0,Nation,United States,Ages 14_17,Male,1996,Number,"7,949,895"
0,Nation,United States,Ages 14_17,Male,1997,Number,"8,117,558"
0,Nation,United States,Ages 14_17,Male,1998,Number,"8,148,468"
0,Nation,United States,Ages 14_17,Male,1999,Number,"8,239,631"
0,Nation,United States,Ages 14_17,Male,2000,Number,"8,310,126"
0,Nation,United States,Ages 14_17,Male,2001,Number,"8,372,787"
0,Nation,United States,Ages 14_17,Male,2002,Number,"8,483,075"
0,Nation,United States,Ages 14_17,Male,2003,Number,"8,575,266"
0,Nation,United States,Ages 14_17,Male,2004,Number,"8,760,554"
0,Nation,United States,Ages 14_17,Male,2005,Number,"8,916,656"
0,Nation,United States,Ages 14_17,Male,2006,Number,"9,012,773"
0,Nation,United States,Ages 14_17,Male,2007,Number,"9,038,518"
0,Nation,United States,Ages 14_17,Male,2008,Number,"8,932,342"
0,Nation,United States,Ages 14_17,Male,2009,Number,"8,848,836"
0,Nation,United States,Ages 14_17,Male,2010,Number,"8,760,911"
0,Nation,United States,Ages 14_17,Male,2011,Number,"8,644,668"
0,Nation,United States,Ages 14_17,Male,2012,Number,"8,557,829"
0,Nation,United States,Ages 14_17,Male,2013,Number,"8,515,225"
0,Nation,United States,Ages 14_17,Male,2014,Number,"8,560,672"
0,Nation,United States,Ages 14_17,Male,2015,Number,"8,589,577"
0,Nation,United States,Ages 14_17,Male,2016,Number,"8,567,586"
0,Nation,United States,Ages 14_17,Male,2017,Number,"8,549,953"
0,Nation,United States,Ages 14_17,Male,2018,Number,"8,505,545"
0,Nation,United States,Ages 14_17,Male,2019,Number,"8,490,102"
0,Nation,United States,Ages 14_17,Male,2020,Number,"8,530,018"
0,Nation,United States,Ages 14_17,Male,2021,Number,"8,560,876"
0,Nation,United States,Ages 14_17,Total,1995,Number,"15,012,721"
0,Nation,United States,Ages 14_17,Total,1996,Number,"15,442,557"
0,Nation,United States,Ages 14_17,Total,1997,Number,"15,769,248"
0,Nation,United States,Ages 14_17,Total,1998,Number,"15,829,267"
0,Nation,United States,Ages 14_17,Total,1999,Number,"16,007,246"
0,Nation,United States,Ages 14_17,Total,2000,Number,"16,144,201"
0,Nation,United States,Ages 14_17,Total,2001,Number,"16,280,288"
0,Nation,United States,Ages 14_17,Total,2002,Number,"16,505,936"
0,Nation,United States,Ages 14_17,Total,2003,Number,"16,693,992"
0,Nation,United States,Ages 14_17,Total,2004,Number,"17,054,192"
0,Nation,United States,Ages 14_17,Total,2005,Number,"17,357,839"
0,Nation,United States,Ages 14_17,Total,2006,Number,"17,549,455"
0,Nation,United States,Ages 14_17,Total,2007,Number,"17,597,294"
0,Nation,United States,Ages 14_17,Total,2008,Number,"17,395,312"
0,Nation,United States,Ages 14_17,Total,2009,Number,"17,232,466"
0,Nation,United States,Ages 14_17,Total,2010,Number,"17,065,739"
